match_id,season,team1,team2,venue,winner,match_date,data_quality_flag,match_status,match_year,season_date_mismatch
116,2022,MI,MI,AHMEDABAD,MI,2020-07-14,Valid,Completed,2020,True
117,2022,MI,PBKS,HYDERABAD,MI,2020-07-15,Valid,Completed,2020,True
118,2022,GT,DC,AHMEDABAD,DC,2020-07-16,Valid,Completed,2020,True
119,2020,KKR,RCB,CHENNAI,KKR,2020-07-17,Valid,Completed,2020,False
120,2020,RR,KKR,DELHI,RR,2020-07-18,Valid,Completed,2020,False
121,2020,SRH,RCB,AHMEDABAD,RCB,2020-07-19,Valid,Completed,2020,False
122,2021,DC,PBKS,AHMEDABAD,PBKS,2020-07-20,Valid,Completed,2020,True
123,2023,RR,GT,KOLKATA,RR,2020-07-21,Valid,Completed,2020,True
124,2020,KKR,KKR,MUMBAI,KKR,2020-07-22,Valid,Completed,2020,False
125,2020,RCB,PBKS,DELHI,RCB,2020-07-23,Valid,Completed,2020,False
126,2020,CSK,SRH,KOLKATA,,2020-07-24,Valid,No Result,2020,False
127,2022,RR,SRH,HYDERABAD,,2020-07-25,Valid,No Result,2020,True
128,2024,GT,CSK,AHMEDABAD,GT,2020-07-26,Valid,Completed,2020,True
129,2023,SRH,CSK,AHMEDABAD,SRH,2020-07-27,Valid,Completed,2020,True
130,2022,PBKS,PBKS,BANGALORE,PBKS,2020-07-28,Valid,Completed,2020,True
131,2024,RR,GT,BANGALORE,RR,2020-07-29,Valid,Completed,2020,True
132,2024,SRH,PBKS,KOLKATA,PBKS,2020-07-30,Valid,Completed,2020,True
133,2024,LSG,KKR,MUMBAI,KKR,2020-07-31,Valid,Completed,2020,True
134,2021,LSG,RR,BANGALORE,RR,2020-08-01,Valid,Completed,2020,True
135,2024,KKR,GT,DELHI,,2020-08-02,Valid,No Result,2020,True
136,2020,MI,RR,BANGALORE,,2020-08-03,Valid,No Result,2020,False
137,2020,SRH,CSK,BANGALORE,CSK,2020-08-04,Valid,Completed,2020,False
138,2020,MI,MI,KOLKATA,,2020-08-05,Valid,No Result,2020,False
139,2024,MI,LSG,AHMEDABAD,LSG,2020-08-06,Valid,Completed,2020,True
140,2021,DC,LSG,CHENNAI,LSG,2020-08-07,Valid,Completed,2020,True
141,2022,MI,SRH,KOLKATA,SRH,2020-08-08,Valid,Completed,2020,True
142,2022,DC,GT,CHENNAI,DC,2020-08-09,Valid,Completed,2020,True
143,2020,CSK,SRH,CHENNAI,SRH,2020-08-10,Valid,Completed,2020,False
144,2024,RR,RCB,HYDERABAD,RR,2020-08-11,Valid,Completed,2020,True
145,2021,PBKS,KKR,MUMBAI,KKR,2020-08-12,Valid,Completed,2020,True
146,2021,DC,CSK,CHENNAI,CSK,2020-08-13,Valid,Completed,2020,True
147,2023,KKR,RCB,DELHI,RCB,2020-08-14,Valid,Completed,2020,True
148,2021,CSK,LSG,DELHI,LSG,2020-08-15,Valid,Completed,2020,True
149,2020,RCB,KKR,BANGALORE,KKR,2020-08-16,Valid,Completed,2020,False
150,2024,LSG,CSK,MUMBAI,CSK,2020-08-17,Valid,Completed,2020,True
151,2020,SRH,PBKS,HYDERABAD,,2020-08-18,Valid,No Result,2020,False
152,2023,MI,CSK,BANGALORE,MI,2020-08-19,Valid,Completed,2020,True
153,2021,GT,MI,HYDERABAD,GT,2020-08-20,Valid,Completed,2020,True
154,2022,LSG,PBKS,MUMBAI,PBKS,2020-08-21,Valid,Completed,2020,True
155,2024,RR,CSK,AHMEDABAD,RR,2020-08-22,Valid,Completed,2020,True
156,2021,CSK,PBKS,KOLKATA,PBKS,2020-08-23,Valid,Completed,2020,True
157,2020,RR,CSK,HYDERABAD,CSK,2020-08-24,Valid,Completed,2020,False
158,2023,RCB,CSK,CHENNAI,,2020-08-25,Valid,No Result,2020,True
159,2022,CSK,GT,BANGALORE,,2020-08-26,Conflicting Duplicate,Data Issue,2020,True
160,2021,LSG,DC,CHENNAI,DC,2020-08-27,Valid,Completed,2020,True
161,2020,MI,PBKS,BANGALORE,PBKS,2020-08-28,Valid,Completed,2020,False
162,2023,SRH,GT,HYDERABAD,GT,2020-08-29,Valid,Completed,2020,True
163,2020,PBKS,CSK,MUMBAI,,2020-08-30,Valid,No Result,2020,False
164,2023,KKR,CSK,DELHI,CSK,2020-08-31,Valid,Completed,2020,True
165,2023,GT,DC,BANGALORE,DC,2020-09-01,Valid,Completed,2020,True
166,2022,CSK,MI,AHMEDABAD,MI,2020-09-02,Valid,Completed,2020,True
167,2024,RR,LSG,HYDERABAD,RR,2020-09-03,Valid,Completed,2020,True
168,2021,PBKS,DC,BANGALORE,PBKS,2020-09-04,Valid,Completed,2020,True
169,2020,MI,PBKS,AHMEDABAD,PBKS,2020-09-05,Valid,Completed,2020,False
170,2022,KKR,CSK,MUMBAI,KKR,2020-09-06,Valid,Completed,2020,True
171,2021,LSG,GT,MUMBAI,LSG,2020-09-07,Valid,Completed,2020,True
172,2021,RR,CSK,HYDERABAD,,2020-09-08,Valid,No Result,2020,True
173,2022,LSG,KKR,BANGALORE,KKR,2020-09-09,Valid,Completed,2020,True
174,2022,CSK,GT,HYDERABAD,,2020-09-10,Valid,No Result,2020,True
175,2020,SRH,MI,HYDERABAD,MI,2020-09-11,Valid,Completed,2020,False
176,2023,RCB,MI,HYDERABAD,,2020-09-12,Valid,No Result,2020,True
177,2021,SRH,PBKS,AHMEDABAD,,2020-09-13,Valid,No Result,2020,True
178,2020,GT,GT,MUMBAI,GT,2020-09-14,Valid,Completed,2020,False
179,2021,GT,LSG,KOLKATA,,2020-09-15,Valid,No Result,2020,True
180,2021,CSK,MI,AHMEDABAD,MI,2020-09-16,Valid,Completed,2020,True
181,2023,CSK,LSG,MUMBAI,LSG,2020-09-17,Valid,Completed,2020,True
182,2024,RR,CSK,AHMEDABAD,,2020-09-18,Valid,No Result,2020,True
183,2024,KKR,KKR,DELHI,KKR,2020-09-19,Valid,Completed,2020,True
184,2021,MI,SRH,BANGALORE,SRH,2020-09-20,Valid,Completed,2020,True
185,2020,KKR,RR,BANGALORE,KKR,2020-09-21,Valid,Completed,2020,False
186,2023,GT,SRH,DELHI,SRH,2020-09-22,Valid,Completed,2020,True
187,2021,KKR,KKR,CHENNAI,KKR,2020-09-23,Valid,Completed,2020,True
188,2021,SRH,KKR,HYDERABAD,SRH,2020-09-24,Valid,Completed,2020,True
189,2021,CSK,RR,KOLKATA,RR,2020-09-25,Valid,Completed,2020,True
190,2020,RCB,GT,BANGALORE,RCB,2020-09-26,Valid,Completed,2020,False
191,2021,RCB,MI,CHENNAI,,2020-09-27,Valid,No Result,2020,True
192,2021,RR,LSG,HYDERABAD,,2020-09-28,Valid,No Result,2020,True
193,2020,LSG,DC,DELHI,DC,2020-09-29,Valid,Completed,2020,False
194,2024,SRH,PBKS,DELHI,PBKS,2020-09-30,Valid,Completed,2020,True
195,2020,SRH,RCB,AHMEDABAD,SRH,2020-10-01,Valid,Completed,2020,False
196,2024,MI,PBKS,DELHI,MI,2020-10-02,Valid,Completed,2020,True
197,2024,RCB,GT,HYDERABAD,GT,2020-10-03,Valid,Completed,2020,True
198,2020,CSK,DC,DELHI,DC,2020-10-04,Valid,Completed,2020,False
199,2020,RR,PBKS,MUMBAI,,2020-10-05,Valid,No Result,2020,False
200,2023,KKR,RR,MUMBAI,,2020-10-06,Conflicting Duplicate,Data Issue,2020,True
